analysis_id	window_family	window_label	window_size_bp	step_mode	step_size_bp	cpg_window	step_cpg	enter_threshold	exit_threshold	is_primary_spec	control_entry	control_exit	pws_entry	pws_exit	as_entry	as_exit	shared_start	shared_end	shared_length_bp	jaccard_vs_primary_shared_interval	shared_start_shift_bp	shared_end_shift_bp	sensitivity_region_start	sensitivity_region_end	status
sensitivity_001	genomic_bp	250bp_fixed_100bp	250.0	fixed_100bp	100.0			0.4	0.1	False	22691100	22695750	22691400.0	22694350.0	22691400.0	22694350.0	22691400.0	22694350.0	2950.0	0.7972972972972973	400.0	-350.0	22661000	22724700	ok
sensitivity_002	genomic_bp	250bp_adaptive_quarter_window	250.0	adaptive_quarter_window	50.0			0.4	0.1	False	22693025	22695025	22691350.0	22694350.0	22692900.0	22694350.0	22693025.0	22694350.0	1325.0	0.3581081081081081	2025.0	-350.0	22661000	22724700	ok
sensitivity_003	genomic_bp	500bp_fixed_100bp	500.0	fixed_100bp	100.0			0.4	0.1	False	22690800	22694400	22691300.0	22694400.0	22691200.0	22694400.0	22691300.0	22694400.0	3100.0	0.8378378378378378	300.0	-300.0	22661000	22724700	ok
sensitivity_004	genomic_bp	500bp_adaptive_quarter_window	500.0	adaptive_quarter_window	125.0			0.4	0.1	False	22690875	22695750	22691250.0	22694375.0	22692375.0	22694500.0	22692375.0	22694375.0	2000.0	0.5405405405405406	1375.0	-325.0	22661000	22724700	ok
sensitivity_005	genomic_bp	1000bp_fixed_100bp	1000.0	fixed_100bp	100.0			0.4	0.1	True	22690600	22696850	22690900.0	22694700.0	22691000.0	22694800.0	22691000.0	22694700.0	3700.0	1.0	0.0	0.0	22661000	22724700	ok
sensitivity_006	genomic_bp	2000bp_fixed_100bp	2000.0	fixed_100bp	100.0			0.4	0.1	False	22689700	22697400	22690400.0	22695400.0	22691000.0	22695700.0	22691000.0	22695400.0	4400.0	0.8409090909090909	0.0	700.0	22661000	22724700	ok
sensitivity_007	genomic_bp	2000bp_adaptive_quarter_window	2000.0	adaptive_quarter_window	500.0			0.4	0.1	False	22690000	22698500	22690500.0	22695500.0									22661000	22724700	missing_primary_calls
sensitivity_008	genomic_bp	1000bp_fixed_100bp	1000.0	fixed_100bp	100.0			0.3	0.1	False	22689600	22693900	22690700.0	22694700.0	22690700.0	22694800.0	22690700.0	22693900.0	3200.0	0.725	-300.0	-800.0	22661000	22724700	ok
sensitivity_009	genomic_bp	1000bp_fixed_100bp	1000.0	fixed_100bp	100.0			0.5	0.1	False	22690600	22696850											22661000	22724700	missing_primary_calls
sensitivity_010	genomic_bp	1000bp_fixed_100bp	1000.0	fixed_100bp	100.0			0.4	0.15	False	22690600	22694850	22690900.0	22694600.0	22691000.0	22694700.0	22691000.0	22694600.0	3600.0	0.972972972972973	0.0	-100.0	22661000	22724700	ok
sensitivity_011	adaptive_cpg	25CpG_adaptive		adaptive_cpg_step		25.0	5.0	0.4	0.1	False	22690274	22698815	22691291.0	22696407.0	22691609.0	22697108.0	22691609.0	22696407.0	4798.0	0.5716663584242648	609.0	1707.0	22661000	22724700	ok
sensitivity_012	adaptive_cpg	25CpG_adaptive		adaptive_cpg_step		25.0	5.0	0.4	0.15	False	22690274	22707720	22691291.0	22695739.0	22691609.0	22696501.0	22691609.0	22695739.0	4130.0	0.6522473095589787	609.0	1039.0	22661000	22724700	ok
sensitivity_013	adaptive_cpg	50CpG_adaptive		adaptive_cpg_step		50.0	10.0	0.4	0.1	False	22688490	22717242	22691257.0	22698499.0									22661000	22724700	missing_primary_calls
sensitivity_014	adaptive_cpg	50CpG_adaptive		adaptive_cpg_step		50.0	10.0	0.4	0.15	False	22688490	22709225	22691257.0	22697925.0									22661000	22724700	missing_primary_calls
