sample	group	comparison	reference	deletion_start	deletion_end	n_windows	pearson_r	mean_abs_delta	mean_delta
001P	PWS_DEL	001P_retained_vs_control_maternal_mean	control_maternal_mean	20936000.0	26038000.0	4698	0.7002174117719618	0.08159508213308732	0.019708874822934347
002P	PWS_DEL	002P_retained_vs_control_maternal_mean	control_maternal_mean	17652000.0	26454000.0	5673	0.7917114051386092	0.06890220141753012	-0.014986059693314164
005P	PWS_DEL	005P_retained_vs_control_maternal_mean	control_maternal_mean	19740000.0	26388000.0	5620	0.7528105828168277	0.07533359399204641	0.01857760603236876
006P	PWS_DEL	006P_retained_vs_control_maternal_mean	control_maternal_mean	17972000.0	28000000.0	5871	0.7349350186405667	0.07798855543289859	0.023841565386216738
007P	PWS_DEL	007P_retained_vs_control_maternal_mean	control_maternal_mean	17600000.0	28000000.0	8983	0.7482432957876592	0.07640268257443723	0.011473236706636402
013A	AS_DEL	013A_retained_vs_control_paternal_mean	control_paternal_mean	21066000.0	26454000.0	4880	0.6958475360652667	0.07747277257462724	0.03322601028370527
014A	AS_DEL	014A_retained_vs_control_paternal_mean	control_paternal_mean	19622000.0	26204000.0	4781	0.6767132825899496	0.08058647806395554	0.031125200318059217
016A	AS_DEL	016A_retained_vs_control_paternal_mean	control_paternal_mean	19692000.0	26224000.0	4889	0.7020271503783821	0.07749571049808125	0.009140231893222831
004P	PWS_mUPD	004P_haplotype1_vs_control_maternal	control_maternal_mean	NaN	NaN	8518	0.7751265079102714	0.07301696817053127	-0.011755609192768815
004P	PWS_mUPD	004P_haplotype2_vs_control_maternal	control_maternal_mean	NaN	NaN	8488	0.7723456169143331	0.07342994849471372	-0.013409996513888038
